Date,Volatility down (0),Volatility up (1),Max Probability,Volatility Prediction,Signal,Order Size
16/01/2025,0.967013,0.032986995,0.967013,Down,Sell,93402.60028839111
17/01/2025,0.832513,0.16748706,0.832513,Down,Sell,66502.59494781494
21/01/2025,0.3610866,0.6389134,0.6389134,Up,No Trade,No trade
22/01/2025,0.43260872,0.5673913,0.5673913,Up,No Trade,No trade
23/01/2025,0.03785318,0.9621468,0.9621468,Up,Buy,92429.36372756958
24/01/2025,0.100751996,0.899248,0.899248,Up,Buy,79849.60079193115
27/01/2025,0.16960609,0.8303939,0.8303939,Up,Buy,66078.782081604
28/01/2025,0.21579808,0.7842019,0.7842019,Up,No Trade,No trade
29/01/2025,0.6544291,0.34557092,0.6544291,Down,No Trade,No trade
30/01/2025,0.12217921,0.8778208,0.8778208,Up,Buy,75564.15796279907
31/01/2025,0.12217921,0.8778208,0.8778208,Up,Buy,75564.15796279907
03/02/2025,0.1043663,0.8956337,0.8956337,Up,Buy,79126.73950195312
04/02/2025,0.032806575,0.9671934,0.9671934,Up,Buy,93438.68494033813
05/02/2025,0.16352725,0.83647275,0.83647275,Up,Buy,67294.5499420166
06/02/2025,0.052493215,0.9475068,0.9475068,Up,Buy,89501.35707855225
07/02/2025,0.16352725,0.83647275,0.83647275,Up,Buy,67294.5499420166
10/02/2025,0.81176966,0.18823032,0.81176966,Down,Sell,62353.93285751343
11/02/2025,0.81334066,0.18665934,0.81334066,Down,Sell,62668.13278198242
12/02/2025,0.7827566,0.21724337,0.7827566,Down,Sell,56551.32532119751
13/02/2025,0.5966824,0.40331754,0.5966824,Down,No Trade,No trade
14/02/2025,0.72408473,0.2759153,0.72408473,Down,Sell,44816.9469833374
18/02/2025,0.6706274,0.32937258,0.6706274,Down,No Trade,No trade
19/02/2025,0.72494113,0.27505887,0.72494113,Down,Sell,44988.226890563965
20/02/2025,0.07004386,0.92995614,0.92995614,Up,Buy,85991.22762680054
21/02/2025,0.7331101,0.26688996,0.7331101,Down,Sell,46622.01404571533
24/02/2025,0.82732785,0.17267215,0.82732785,Down,Sell,65465.569496154785
25/02/2025,0.6706274,0.32937258,0.6706274,Down,No Trade,No trade
26/02/2025,0.8389957,0.16100428,0.8389957,Down,Sell,67799.13902282715
27/02/2025,0.8146312,0.18536879,0.8146312,Down,Sell,62926.24473571777
28/02/2025,0.7331101,0.26688996,0.7331101,Down,Sell,46622.01404571533
03/03/2025,0.6706274,0.32937258,0.6706274,Down,No Trade,No trade
04/03/2025,0.6706274,0.32937258,0.6706274,Down,No Trade,No trade
05/03/2025,0.6429604,0.3570396,0.6429604,Down,No Trade,No trade
06/03/2025,0.30836606,0.69163394,0.69163394,Up,No Trade,No trade
07/03/2025,0.560455,0.43954498,0.560455,Down,No Trade,No trade
10/03/2025,0.6516756,0.34832442,0.6516756,Down,No Trade,No trade
11/03/2025,0.560455,0.43954498,0.560455,Down,No Trade,No trade
12/03/2025,0.6866293,0.31337067,0.6866293,Down,No Trade,No trade
13/03/2025,0.79397523,0.20602477,0.79397523,Down,Sell,58795.04680633545
14/03/2025,0.819039,0.18096098,0.819039,Down,Sell,63807.7974319458
17/03/2025,0.6888561,0.3111439,0.6888561,Down,No Trade,No trade
18/03/2025,0.560455,0.43954498,0.560455,Down,No Trade,No trade
19/03/2025,0.19774407,0.8022559,0.8022559,Up,Buy,60451.18570327759
20/03/2025,0.2408874,0.7591126,0.7591126,Up,No Trade,No trade
21/03/2025,0.09110236,0.90889764,0.90889764,Up,Buy,81779.52766418457
24/03/2025,0.17945278,0.8205472,0.8205472,Up,Buy,64109.4446182251
25/03/2025,0.052635968,0.94736403,0.94736403,Up,Buy,89472.80645370483
26/03/2025,0.040367067,0.95963293,0.95963293,Up,Buy,91926.5866279602
27/03/2025,0.040367067,0.95963293,0.95963293,Up,Buy,91926.5866279602
28/03/2025,0.040367067,0.95963293,0.95963293,Up,Buy,91926.5866279602
31/03/2025,0.31573945,0.68426055,0.68426055,Up,No Trade,No trade
01/04/2025,0.774837,0.22516295,0.774837,Down,Sell,54967.403411865234
02/04/2025,0.20688105,0.79311895,0.79311895,Up,No Trade,No trade
03/04/2025,0.9490281,0.050971907,0.9490281,Down,Sell,89805.6149482727
04/04/2025,0.96998173,0.030018298,0.96998173,Down,Sell,93996.34599685669
07/04/2025,0.96998173,0.030018298,0.96998173,Down,Sell,93996.34599685669
08/04/2025,0.96998173,0.030018298,0.96998173,Down,Sell,93996.34599685669
09/04/2025,0.96998173,0.030018298,0.96998173,Down,Sell,93996.34599685669
10/04/2025,0.96998173,0.030018298,0.96998173,Down,Sell,93996.34599685669
11/04/2025,0.96998173,0.030018298,0.96998173,Down,Sell,93996.34599685669
14/04/2025,0.96998173,0.030018298,0.96998173,Down,Sell,93996.34599685669
15/04/2025,0.96998173,0.030018298,0.96998173,Down,Sell,93996.34599685669
16/04/2025,0.37725782,0.6227422,0.6227422,Up,No Trade,No trade
17/04/2025,0.5169823,0.4830177,0.5169823,Down,No Trade,No trade
21/04/2025,0.4856903,0.5143097,0.5143097,Up,No Trade,No trade
22/04/2025,0.4856903,0.5143097,0.5143097,Up,No Trade,No trade
